vehicle_year_name,vehicle_style,site_rating,vehicle_price,vehicle_mileage,vehicle_location,vehicle_ext_color,vehicle_int_color,vehicle_accident_count,vehicle_title_type,vehicle_mpg,vehicle_transmission,vehicle_fuel_type,vehicle_options_level,vehicle_engine,vehicle_drive_type,vehicle_usage_type
2014 Ford Escape,SE FWD,Great Price,"$10,952 ","82,280","Henrietta, TX",Unknown,Unknown,1 reported accidents,Clean,23 cty / 32 hwy,Automatic,Gas,Standard,1.6L Inline-4 Gas Turbocharged,FWD,Personal or Rental Use
2013 GMC Yukon,Denali AWD,Fair Price,"$20,500 ","112,139","Pryor, OK",Onyx Black,Ebony,0 reported accidents,Clean,13 cty / 18 hwy,Automatic,Gas,Well Equipped,6.2L V-8 Gas,AWD,Personal or Rental Use
2018 Kia Sorento,LX I4 AWD,Fair Price,"$20,500 ","31,491","Arlington, TX",Ebony Black,Satin Black,0 reported accidents,Clean,21 cty / 25 hwy,Automatic,Gas,Standard,2.4L Inline-4 Gas,AWD,Personal or Rental Use
2017 Lincoln MKC,Reserve AWD,Fair Price,"$26,645 ","28,935","Plano, TX",Midnight Sapphire Blue Metallic,Ebony,0 reported accidents,Clean,19 cty / 25 hwy,Automatic,Gas,NA,2.0L Inline-4 Gas Turbocharged,AWD,Personal or Rental Use
2015 Toyota RAV4,Limited AWD,Fair Price,"$16,834 ","94,544","Addison, TX",White,Latte,1 reported accidents,Clean,22 cty / 29 hwy,Automatic,Gas,Standard,2.5L Inline-4 Gas,AWD,Personal or Rental Use
2015 Jeep Grand Cherokee,Limited 4WD,Fair Price,"$25,171 ","36,861","Carrollton, TX",Bright White Clearcoat,Black,0 reported accidents,Clean,17 cty / 24 hwy,Automatic,Gas,Fully Loaded,5.7L V-8 Gas,4WD,Personal or Rental Use
2018 Hyundai Tucson,SEL Plus FWD,Fair Price,"$18,000 ","62,192","Cleburne, TX",Dazzling White,Beige,0 reported accidents,Clean,23 cty / 30 hwy,Automatic,Gas,Standard,2.0L Inline-4 Gas,FWD,Personal or Rental Use
2017 Chevrolet Traverse,Premier FWD,Fair Price,"$27,700 ","37,486","Yukon, OK",Iridescent Pearl Tricoat,Ebony,0 reported accidents,Clean,15 cty / 22 hwy,Automatic,Gas,Standard,3.6L V-6 Gas,FWD,Personal or Rental Use
2015 Nissan Rogue Select,S AWD,Fair Price,"$12,997 ","45,741","Irving, TX",Frosted Steel,Black,0 reported accidents,Clean,22 cty / 27 hwy,Automatic,Gas,Standard,2.5L Inline-4 Gas,AWD,Personal or Rental Use
2019 Volkswagen Atlas,V6 SE with Technology 3.6L FWD,Fair Price,"$30,000 ","26,660","Broken Arrow, OK",Pure White,Titan Black,0 reported accidents,Clean,17 cty / 24 hwy,Automatic,Gas,Well Equipped,3.6L V-6 Gas,FWD,Personal or Rental Use
2017 INFINITI QX60,3.5 FWD,Fair Price,"$24,204 ","62,671","Grapevine, TX",Hermosa Blue,Wheat,0 reported accidents,Clean,20 cty / 27 hwy,Automatic,Gas,Well Equipped,3.5L V-6 Gas,FWD,Personal or Rental Use
2015 Chevrolet Equinox,LT with 1LT FWD,Fair Price,"$11,992 ","92,610","Abilene, TX",Sea Grass Metallic,Jet Black,0 reported accidents,Clean,22 cty / 32 hwy,Automatic,Gas,Well Equipped,2.4L Inline-4 Gas,FWD,Personal or Rental Use
2018 Kia Niro,Hybrid FE,Fair Price,"$17,860 ","21,846","Ft. Worth, TX",Crimson Red,Charcoal,0 reported accidents,Clean,52 cty / 49 hwy,Automatic,Hybrid,Standard,1.6L Inline-4 Hybrid,FWD,Personal or Rental Use
2017 Subaru Crosstrek,2.0i Limited CVT,Fair Price,"$22,596 ","27,911","Carrollton, TX",Crystal White Pearl,Ivory,0 reported accidents,Clean,26 cty / 33 hwy,Automatic,Gas,Minimal Options,2.0L Flat-4 Gas,AWD,Personal or Rental Use
2015 Nissan Rogue,SV FWD,Fair Price,"$12,977 ","77,335","Lewisville, TX",Brilliant Silver,Charcoal,0 reported accidents,Clean,26 cty / 33 hwy,Automatic,Gas,Standard,2.5L Inline-4 Gas,FWD,Personal or Rental Use
2017 Hyundai Tucson,SE Plus FWD,Fair Price,"$21,998 ","10,949","Wichita, KS",Dazzling White,Beige,0 reported accidents,Clean,23 cty / 30 hwy,Automatic,Gas,Well Equipped,2.0L Inline-4 Gas,FWD,Fleet or Mixed Use
2016 Toyota 4Runner,SR5 V6 4WD,Fair Price,"$27,999 ","96,229","Tulsa, OK",Classic Silver Metallic,Black/Graphite,0 reported accidents,Clean,17 cty / 21 hwy,Automatic,Gas,Standard,4.0L V-6 Gas,4WD,Fleet or Mixed Use
2011 Dodge Durango,Citadel RWD,High Price,"$13,495 ","124,893","Oklahoma City, OK",Brilliant Black Crystal Pearl,Black Interior,1 reported accidents,Clean,16 cty / 23 hwy,Automatic,Gas,Well Equipped,5.7L V-8 Gas,RWD,Personal or Rental Use
2013 Lincoln MKX,AWD,Fair Price,"$13,759 ","115,236","Tulsa, OK",White Platinum Metallic Tri-Coat,Medium Light Stone,0 reported accidents,Clean,17 cty / 23 hwy,Automatic,Gas,Standard,3.7L V-6 Gas,AWD,Personal or Rental Use
2012 Lincoln Navigator,L 4WD,Fair Price,"$14,500 ","142,786","Bentonville, AR",Ingot Silver Metallic,Unknown,0 reported accidents,Clean,13 cty / 18 hwy,Automatic,Gas,Standard,5.4L V-8 Gas,4WD,Personal or Rental Use
