vehicle_year_name,vehicle_style,site_rating,vehicle_price,vehicle_mileage,vehicle_location,vehicle_ext_color,vehicle_int_color,vehicle_accident_count,vehicle_title_type,vehicle_mpg,vehicle_transmission,vehicle_fuel_type,vehicle_options_level,vehicle_engine,vehicle_drive_type,vehicle_usage_type
2015 Ford Explorer,XLT FWD,Great Price,"$14,701 ","92,475","Stillwater, OK",Ingot Silver Metallic,Medium Light Stone,0 reported accidents,Clean,17 cty / 24 hwy,Automatic,Gas,Standard,3.5L V-6 Gas,FWD,Personal or Rental Use
2015 Nissan Murano,SL FWD,Excellent Price,"$15,990 ","90,089","Oklahoma City, OK",Pearl White,Beige,0 reported accidents,Clean,21 cty / 28 hwy,Automatic,Gas,Fully Loaded,3.5L V-6 Gas,FWD,Personal or Rental Use
2019 Hyundai Tucson,Value AWD,Fair Price,"$19,020 ","29,757","Yukon, OK",Coliseum Gray,Gray,0 reported accidents,Clean,22 cty / 25 hwy,Automatic,Gas,Minimal Options,2.0L Inline-4 Gas,AWD,Fleet or Mixed Use
2019 Dodge Journey,GT AWD,Excellent Price,"$19,977 ","28,446","Oklahoma City, OK",Granite Pearlcoat,Black/Red,0 reported accidents,Clean,16 cty / 24 hwy,Automatic,Gas,Minimal Options,3.6L V-6 Gas,AWD,Fleet or Mixed Use
2016 Nissan Rogue,SV AWD,High Price,"$11,995 ","99,202","Bethany, OK",Magnetic Black,Charcoal,Frame Damaged,Clean,25 cty / 32 hwy,Automatic,Gas,Standard,2.5L Inline-4 Gas,AWD,Personal or Rental Use
2015 Nissan Rogue,SV AWD,Excellent Price,"$8,950 ","112,359","Oklahoma City, OK",Brilliant Silver,Charcoal,0 reported accidents,Clean,25 cty / 32 hwy,Automatic,Gas,Well Equipped,2.5L Inline-4 Gas,AWD,Personal or Rental Use
2019 Dodge Journey,GT FWD,Excellent Price,"$16,857 ","34,234","YUKON, OK",Billet Clearcoat,Black/Red,0 reported accidents,Clean,17 cty / 25 hwy,Automatic,Gas,Minimal Options,3.6L V-6 Gas,FWD,Personal or Rental Use
2010 Chevrolet Equinox,LTZ AWD,Excellent Price,"$6,999 ","134,670","Oklahoma City, OK",Gold Mist Metallic,Jet Black,0 reported accidents,Clean,20 cty / 29 hwy,Automatic,Gas,Standard,2.4L Inline-4 Gas,AWD,Fleet or Mixed Use
2014 Ford Edge,SEL FWD,Excellent Price,"$8,199 ","174,662","Del City, OK",Mineral Gray Metallic,Charcoal Black,0 reported accidents,Clean,19 cty / 27 hwy,Automatic,Gas,Standard,3.5L V-6 Gas,FWD,Personal or Rental Use
2011 Honda Pilot,EX-L with Navigation 4WD,Excellent Price,"$9,988 ","146,763","Oklahoma City, OK",Burgundy,Tan,0 reported accidents,Clean,16 cty / 22 hwy,Automatic,Gas,Standard,3.5L V-6 Gas,4WD,Personal or Rental Use
2010 Lexus RX,RX 350 AWD,Excellent Price,"$10,988 ","166,664","Oklahoma City, OK",Black Sapphire Pearl,Black,1 reported accidents,Clean,18 cty / 24 hwy,Automatic,Gas,Standard,3.5L V-6 Gas,AWD,Fleet or Mixed Use
2011 Volvo XC60,3.2L AWD,Excellent Price,"$7,488 ","130,262","Oklahoma City, OK",Gray,Tan,1 reported accidents,Clean,18 cty / 25 hwy,Automatic,Gas,Standard,3.2L Inline-6 Gas,AWD,Personal or Rental Use
2012 Ford Escape,Limited 4WD,Excellent Price,"$5,995 ","140,832","Oklahoma City, OK",Black,Charcoal Black,2 reported accidents,Clean,20 cty / 27 hwy,Automatic,Gas,Standard,2.5L Inline-4 Gas,4WD,Fleet or Mixed Use
2015 Audi Q3,Prestige quattro,Excellent Price,"$14,988 ","113,088","Oklahoma City, OK",Cortina White,Black,0 reported accidents,Clean,20 cty / 28 hwy,Automatic,Gas,Standard,2.0L Inline-4 Gas Turbocharged,AWD,Fleet or Mixed Use
2013 Honda CR-V,EX-L FWD,Excellent Price,"$11,995 ","97,214","Bethany, OK",Black,Black,1 reported accidents,Clean,23 cty / 31 hwy,Automatic,Gas,Standard,2.4L Inline-4 Gas,FWD,Fleet or Mixed Use
2011 Volvo XC90,3.2L FWD,Excellent Price,"$9,988 ","86,666","Oklahoma City, OK",Magic Blue Metallic,Tan,1 reported accidents,Clean,16 cty / 22 hwy,Automatic,Gas,Standard,3.2L Inline-6 Gas,FWD,Personal or Rental Use
2016 Lincoln Navigator,L Select 4WD,Excellent Price,"$24,867 ","100,190","Oklahoma City, OK",Black Velvet,Ebony,2 reported accidents,Clean,15 cty / 19 hwy,Automatic,Gas,Standard,3.5L V-6 Gas Turbocharged,4WD,Personal or Rental Use
2009 Nissan Murano,SL FWD,Excellent Price,"$6,885 ","98,553","Del City, OK",Super Black,Black,1 reported accidents,Clean,18 cty / 23 hwy,Automatic,Gas,NA,3.5L V-6 Gas,FWD,Personal or Rental Use
2016 Hyundai Tucson,Limited FWD,Excellent Price,"$15,758 ","60,010","Oklahoma City, OK",Sedona Sunset,Black,0 reported accidents,Clean,25 cty / 30 hwy,Automatic,Gas,Well Equipped,1.6L Inline-4 Gas Turbocharged,FWD,Personal or Rental Use
2013 Volvo XC90,FWD,Excellent Price,"$10,988 ","106,207","Oklahoma City, OK",Blue,Tan,0 reported accidents,Clean,16 cty / 23 hwy,Automatic,Gas,Standard,3.2L Inline-6 Gas,FWD,Personal or Rental Use
2011 Toyota Highlander,V6 FWD,Excellent Price,"$10,995 ","117,502","Bethany, OK",Gray,Gray,0 reported accidents,Clean,18 cty / 24 hwy,Automatic,Gas,Standard,3.5L V-6 Gas,FWD,Personal or Rental Use
2017 Honda Pilot,Elite AWD,Excellent Price,"$21,500 ","126,468","Oklahoma City, OK",Crystal Black Pearl,Black,0 reported accidents,Clean,19 cty / 26 hwy,Automatic,Gas,NA,3.5L V-6 Gas,AWD,Personal or Rental Use
2013 Ford Edge,SEL FWD,Excellent Price,"$9,000 ","152,327","Oklahoma City, OK",Tuxedo Black Metallic,Charcoal Black,0 reported accidents,Clean,19 cty / 27 hwy,Automatic,Gas,Standard,3.5L V-6 Gas,FWD,Personal or Rental Use
2009 Honda Pilot,EX-L FWD,Excellent Price,"$8,988 ","131,884","Oklahoma City, OK",Nimbus Gray Metallic,Black,0 reported accidents,Clean,17 cty / 23 hwy,Automatic,Gas,Standard,3.5L V-6 Gas,FWD,Personal or Rental Use
2017 Lincoln MKX,Select FWD,Excellent Price,"$19,995 ","56,534","Oklahoma City, OK",Ingot Silver Metallic,Unknown,0 reported accidents,Clean,17 cty / 25 hwy,Automatic,Gas,Standard,3.7L V-6 Gas,FWD,Personal or Rental Use
2014 Lincoln Navigator,2WD,Excellent Price,"$21,196 ","86,712","Oklahoma City, OK",Tuxedo Black Metallic,Unknown,0 reported accidents,Clean,14 cty / 20 hwy,Automatic,Gas,Standard,5.4L V-8 Gas,RWD,Personal or Rental Use
2009 Hyundai Santa Fe,GLS FWD Manual,Excellent Price,"$4,449 ","121,001","Del City, OK",Powder White Pearl,Beige,0 reported accidents,Clean,17 cty / 24 hwy,Manual,Gas,NA,2.7L V-6 Gas,FWD,Personal or Rental Use
2014 Jeep Grand Cherokee,Altitude 4WD,Excellent Price,"$12,891 ","109,998","Oklahoma City, OK",Bright White Clearcoat,Black,0 reported accidents,Clean,17 cty / 24 hwy,Automatic,Gas,Standard,3.6L V-6 Gas,4WD,Fleet or Mixed Use
2018 Mitsubishi Outlander Sport,ES 2.0 FWD CVT,Excellent Price,"$13,200 ","41,500","Oklahoma City, OK",Octane Blue Metallic,Black,1 reported accidents,Clean,23 cty / 30 hwy,Automatic,Gas,Standard,2.0L Inline-4 Gas,FWD,Fleet or Mixed Use
2016 Chevrolet Equinox,LT FWD,Excellent Price,"$13,995 ","28,498","Bethany, OK",Black,Jet Black,0 reported accidents,Clean,22 cty / 32 hwy,Automatic,Gas,Well Equipped,2.4L Inline-4 Gas,FWD,Fleet or Mixed Use
2016 Jeep Compass,Latitude 4WD,Excellent Price,"$9,995 ","74,703","Bethany, OK",Billet Silver Metallic Clearcoat,Dark Slate Gray,Frame Damaged,Clean,20 cty / 26 hwy,Automatic,Gas,Minimal Options,2.4L Inline-4 Gas,4WD,Fleet or Mixed Use
2013 Honda CR-V,EX-L FWD,Excellent Price,"$12,200 ","124,158","Oklahoma City, OK",Unknown,Unknown,0 reported accidents,Clean,23 cty / 31 hwy,Automatic,Gas,Standard,2.4L Inline-4 Gas,FWD,Personal or Rental Use
2018 Dodge Journey,SE FWD,Excellent Price,"$14,995 ","6,880","Bethany, OK",Pitch Black Clearcoat,Black,0 reported accidents,Clean,19 cty / 25 hwy,Automatic,Gas,Standard,2.4L Inline-4 Gas,FWD,Fleet or Mixed Use
2017 Lincoln MKC,Premiere FWD,Excellent Price,"$17,756 ","41,085","Oklahoma City, OK",Black Velvet,Unknown,0 reported accidents,Clean,21 cty / 28 hwy,Automatic,Gas,Standard,2.0L Inline-4 Gas Turbocharged,FWD,Personal or Rental Use
2012 Buick Enclave,Leather AWD,Excellent Price,"$11,995 ","103,165","Oklahoma City, OK",Carbon Black Metallic,Titanium,0 reported accidents,Clean,16 cty / 22 hwy,Automatic,Gas,Minimal Options,3.6L V-6 Gas,AWD,Personal or Rental Use
2014 Ford Escape,SE 4WD,Excellent Price,"$10,950 ","78,136","Oklahoma City, OK",Charcoal,Gray,1 reported accidents,Clean,22 cty / 30 hwy,Automatic,Gas,Standard,2.0L Inline-4 Gas Turbocharged,4WD,Personal or Rental Use
2014 Ford Edge,SEL FWD,Excellent Price,"$11,950 ","80,315","Oklahoma City, OK",Ruby Red Metallic Tinted Clearcoat,Unknown,0 reported accidents,Clean,19 cty / 27 hwy,Automatic,Gas,Standard,3.5L V-6 Gas,FWD,Personal or Rental Use
2019 Nissan Rogue,SV FWD,Excellent Price,"$16,995 ","40,660","Oklahoma City, OK",Brilliant Silver Metallic,Charcoal,0 reported accidents,Clean,26 cty / 33 hwy,Automatic,Gas,Standard,2.5L Inline-4 Gas,FWD,Personal or Rental Use
2009 Honda CR-V,LX FWD,Excellent Price,"$8,139 ","128,910","Oklahoma City, OK",Alabaster Silver Metallic,Black,1 reported accidents,Clean,20 cty / 27 hwy,Automatic,Gas,Standard,2.4L Inline-4 Gas,FWD,Personal or Rental Use
2013 Volvo XC90,Premier Plus FWD,Excellent Price,"$12,988 ","83,709","Oklahoma City, OK",Black,Tan,0 reported accidents,Clean,16 cty / 23 hwy,Automatic,Gas,Standard,3.2L Inline-6 Gas,FWD,Personal or Rental Use
2013 Chevrolet Traverse,LT with 1LT FWD,Excellent Price,"$7,000 ","147,342","Oklahoma City, OK",White Diamond Tricoat,Dk Titanium/Lt Titanium,0 reported accidents,Clean,17 cty / 24 hwy,Automatic,Gas,Standard,3.6L V-6 Gas,FWD,Personal or Rental Use
2012 Mercedes-Benz GLK,GLK 350 RWD,Excellent Price,"$10,995 ","115,876","Bethany, OK",Mars Red,Gray,0 reported accidents,Clean,16 cty / 22 hwy,Automatic,Gas,Standard,3.5L V-6 Gas,RWD,Fleet or Mixed Use
2017 Lincoln MKX,Select FWD,Excellent Price,"$20,615 ","57,621","Oklahoma City, OK",Palladium White Gold Metallic,Cappuccino,1 reported accidents,Clean,17 cty / 25 hwy,Automatic,Gas,Standard,3.7L V-6 Gas,FWD,Personal or Rental Use
2019 Toyota 4Runner,SR5 4WD,Excellent Price,"$29,897 ","43,976","Midwest City, OK",Super White,Unknown,0 reported accidents,Clean,17 cty / 20 hwy,Automatic,Gas,Standard,4.0L V-6 Gas,4WD,Personal or Rental Use
2017 Lincoln MKX,Premiere FWD,Excellent Price,"$17,463 ","77,823","Oklahoma City, OK",Magnetic Gray Metallic,Unknown,0 reported accidents,Clean,17 cty / 25 hwy,Automatic,Gas,Standard,3.7L V-6 Gas,FWD,Personal or Rental Use
2012 Honda CR-V,EX-L FWD,Excellent Price,"$10,876 ","133,120","Oklahoma City, OK",Gray,Gray,0 reported accidents,Clean,23 cty / 31 hwy,Automatic,Gas,Standard,2.4L Inline-4 Gas,FWD,Personal or Rental Use
2017 Lincoln MKX,Premiere FWD,Excellent Price,"$19,992 ","52,621","Oklahoma City, OK",Black Velvet,Ebony,1 reported accidents,Clean,17 cty / 25 hwy,Automatic,Gas,Standard,3.7L V-6 Gas,FWD,Personal or Rental Use
2011 Chevrolet Tahoe,LS 4WD,Excellent Price,"$7,500 ","221,258","Oklahoma City, OK",Summit White,Ebony,0 reported accidents,Clean,15 cty / 21 hwy,Automatic,Gas,Fully Loaded,5.3L V-8 Gas,4WD,Personal or Rental Use
2019 Buick Enclave,Essence FWD,Excellent Price,"$22,897 ","41,686","Midwest City, OK",Summit White,Dark Galvanized,0 reported accidents,Clean,18 cty / 26 hwy,Automatic,Gas,Minimal Options,3.6L V-6 Gas,FWD,Personal or Rental Use
2010 GMC Acadia,FWD 4dr SLT1,Excellent Price,"$8,950 ","88,600","Oklahoma City, OK",Red Jewel Tintcoat,Light Titanium,0 reported accidents,Clean,17 cty / 24 hwy,Automatic,Gas,NA,3.6L V-6 Gas,FWD,Personal or Rental Use
2014 Toyota Highlander,XLE V6 FWD,Excellent Price,"$18,893 ","108,173","Oklahoma City, OK",White,Almond,0 reported accidents,Clean,19 cty / 25 hwy,Automatic,Gas,Standard,3.5L V-6 Gas,FWD,Personal or Rental Use
2017 Chevrolet Equinox,LT with 1LT FWD,Excellent Price,"$12,396 ","87,016","Oklahoma City, OK",Mosaic Black Metallic,Jet Black,0 reported accidents,Clean,21 cty / 31 hwy,Automatic,Gas,Well Equipped,2.4L Inline-4 Gas,FWD,Personal or Rental Use
2011 BMW X3,xDrive28i AWD,Excellent Price,"$10,500 ","97,677","Bethany, OK",Deep Sea Blue Metallic,Tan,0 reported accidents,Clean,19 cty / 25 hwy,Automatic,Gas,Standard,3.0L Inline-6 Gas,AWD,Fleet or Mixed Use
2012 Toyota Highlander,Limited V6 FWD,Excellent Price,"$15,988 ","97,003","Oklahoma City, OK",Shoreline Blue Pearl,Gray,0 reported accidents,Clean,18 cty / 24 hwy,Automatic,Gas,Standard,3.5L V-6 Gas,FWD,Personal or Rental Use
2016 Acura MDX,SH-AWD with Technology Package,Excellent Price,"$27,889 ","32,803","Oklahoma City, OK",White Diamond Pearl,Graystone,0 reported accidents,Clean,18 cty / 26 hwy,Automatic,Gas,Standard,3.5L V-6 Gas,AWD,Personal or Rental Use
2019 Mitsubishi Outlander,SEL S-AWC,Excellent Price,"$14,988 ","31,621","Midwest City, OK",Mercury Gray Metallic,Black,0 reported accidents,Clean,24 cty / 29 hwy,Automatic,Gas,Standard,2.4L Inline-4 Gas,4WD,Personal or Rental Use
2017 Buick Enclave,Leather FWD,Excellent Price,"$17,422 ","90,261","Oklahoma City, OK",Crimson Red Tintcoat,Light Titanium,0 reported accidents,Clean,15 cty / 22 hwy,Automatic,Gas,Minimal Options,3.6L V-6 Gas,FWD,Fleet or Mixed Use
2014 Lexus RX,RX 350 AWD,Excellent Price,"$18,750 ","94,795","Oklahoma City, OK",Deep Sea Mica,Black,0 reported accidents,Clean,18 cty / 24 hwy,Automatic,Gas,Standard,3.5L V-6 Gas,AWD,Personal or Rental Use
2019 Subaru Outback,2.5i Premium,Excellent Price,"$19,497 ","69,046","YUKON, OK",Crystal White Pearl,Warm Ivory,0 reported accidents,Clean,25 cty / 32 hwy,Automatic,Gas,Standard,2.5L Flat-4 Gas,AWD,Fleet or Mixed Use
2017 Toyota RAV4,Hybrid XLE AWD,Excellent Price,"$13,750 ","84,937","Midwest City, OK",Electric Storm Blue,Ash,0 reported accidents,Clean,34 cty / 30 hwy,Automatic,Hybrid,NA,2.5L Inline-4 Hybrid,AWD,Fleet or Mixed Use
2015 Nissan Rogue,SL AWD,Excellent Price,"$14,300 ","66,213","Oklahoma City, OK",Midnight Jade,Almond,0 reported accidents,Clean,25 cty / 32 hwy,Automatic,Gas,Minimal Options,2.5L Inline-4 Gas,AWD,Fleet or Mixed Use
2014 BMW X5,xDrive35i AWD,Excellent Price,"$21,291 ","84,675","Oklahoma City, OK",Jet Black,Black,0 reported accidents,Clean,18 cty / 27 hwy,Automatic,Gas,Standard,3.0L Inline-6 Gas Turbocharged,AWD,Fleet or Mixed Use
2011 Honda Pilot,EX-L 4WD,Excellent Price,"$8,990 ","168,590","Oklahoma City, OK",Crystal Black Pearl,Gray,0 reported accidents,Clean,16 cty / 22 hwy,Automatic,Gas,Standard,3.5L V-6 Gas,4WD,Personal or Rental Use
2019 Dodge Journey,GT AWD,Excellent Price,"$18,990 ","37,803","Oklahoma City, OK",Billet Clearcoat,Black/Red,0 reported accidents,Clean,16 cty / 24 hwy,Automatic,Gas,Minimal Options,3.6L V-6 Gas,AWD,Fleet or Mixed Use
2010 Chevrolet Traverse,LTZ FWD,Excellent Price,"$6,950 ","132,151","Oklahoma City, OK",Summit White,Lt Gray/Ebony,1 reported accidents,Clean,17 cty / 24 hwy,Automatic,Gas,NA,3.6L V-6 Gas,FWD,Personal or Rental Use
2009 Toyota RAV4,Limited V6 FWD,Great Price,"$8,200 ","179,414","Oklahoma City, OK",Black,Ash,0 reported accidents,Clean,19 cty / 27 hwy,Automatic,Gas,Standard,3.5L V-6 Gas,FWD,Personal or Rental Use
2014 Chevrolet Equinox,LS AWD,Excellent Price,"$7,995 ","133,291","Del City, OK",Atlantis Blue Metallic,Jet Black,0 reported accidents,Clean,20 cty / 29 hwy,Automatic,Gas,Minimal Options,2.4L Inline-4 Gas,AWD,Fleet or Mixed Use
2017 Dodge Journey,SXT FWD,Excellent Price,"$9,988 ","74,175","Midwest City, OK",Granite Pearlcoat,Black,0 reported accidents,Clean,19 cty / 25 hwy,Automatic,Gas,Standard,3.6L V-6 Gas,FWD,Personal or Rental Use
2013 Honda CR-V,EX-L FWD,Excellent Price,"$13,995 ","82,344","Bethany, OK",Silver,Gray,0 reported accidents,Clean,23 cty / 31 hwy,Automatic,Gas,Standard,2.4L Inline-4 Gas,FWD,Fleet or Mixed Use
2014 Ford Expedition,Limited RWD,Excellent Price,"$18,500 ","96,325","Oklahoma City, OK",White Platinum Metallic Tri-Coat,Stone,0 reported accidents,Clean,14 cty / 20 hwy,Automatic,Gas,Standard,5.4L V-8 Gas,RWD,Personal or Rental Use
2013 Ford Edge,Limited FWD,Excellent Price,"$8,950 ","154,133","Oklahoma City, OK",Ingot Silver Metallic,Charcoal Black,1 reported accidents,Clean,19 cty / 27 hwy,Automatic,Gas,Standard,2.0L V-4 Gas Turbocharged,FWD,Personal or Rental Use
2013 Hyundai Santa Fe Sport,Base 2.4L FWD,Excellent Price,"$8,291 ","144,864","Oklahoma City, OK",Mineral Gray,Gray,1 reported accidents,Clean,21 cty / 29 hwy,Automatic,Gas,Minimal Options,2.4L Inline-4 Gas,FWD,Personal or Rental Use
2017 Dodge Journey,SXT FWD,Excellent Price,"$9,995 ","74,461","Bethany, OK",Billet Clearcoat,Black,Frame Damaged,Clean,19 cty / 25 hwy,Automatic,Gas,Standard,3.6L V-6 Gas,FWD,Fleet or Mixed Use
2015 Acura MDX,SH-AWD with Entertainment/Technology Package,Excellent Price,"$19,900 ","98,026","Oklahoma City, OK",Crystal Black Pearl,Ebony,0 reported accidents,Clean,18 cty / 27 hwy,Automatic,Gas,Standard,3.5L V-6 Gas,AWD,Fleet or Mixed Use
2010 Cadillac Escalade,Luxury 2WD,Excellent Price,"$13,499 ","141,452","OKLAHOMA CITY, OK",Tan,Tan,0 reported accidents,Clean,14 cty / 20 hwy,Automatic,Gas,NA,6.2L V-8 Gas,RWD,Fleet or Mixed Use
2013 BMW X3,xDrive28i AWD,Excellent Price,"$12,995 ","73,089","Bethany, OK",Alpine White,Tan,0 reported accidents,Clean,21 cty / 28 hwy,Automatic,Gas,Standard,2.0L Inline-4 Gas Turbocharged,AWD,Fleet or Mixed Use
2019 Nissan Rogue Sport,S FWD,Excellent Price,"$15,988 ","30,062","Oklahoma City, OK",Brilliant Silver Metallic,Charcoal,0 reported accidents,Clean,25 cty / 32 hwy,Automatic,Gas,Standard,2.0L Inline-4 Gas,FWD,Personal or Rental Use
2011 Dodge Nitro,Heat RWD,Excellent Price,"$5,488 ","134,447","Midwest City, OK",Bright Silver Metallic,Dark Slate Gray Interior,0 reported accidents,Clean,16 cty / 22 hwy,Automatic,Gas,Fully Loaded,4.0L V-6 Gas,RWD,Personal or Rental Use
2015 Honda Pilot,Touring with Navigation/Rear Entertainment System 4WD,Excellent Price,"$19,258 ","96,770","Oklahoma City, OK",White Diamond Pearl,Gray,0 reported accidents,Clean,17 cty / 24 hwy,Automatic,Gas,Standard,3.5L V-6 Gas,4WD,Personal or Rental Use
2012 Nissan Murano,SV FWD,Excellent Price,"$10,888 ","66,131","Oklahoma City, OK",Brilliant Silver Metallic,Black,0 reported accidents,Clean,18 cty / 24 hwy,Automatic,Gas,Standard,3.5L V-6 Gas,FWD,Personal or Rental Use
2013 Hyundai Santa Fe Sport,Base 2.4L AWD,Excellent Price,"$9,895 ","107,485","Oklahoma City, OK",Mineral Gray,Gray,0 reported accidents,Clean,20 cty / 26 hwy,Automatic,Gas,Minimal Options,2.4L Inline-4 Gas,AWD,Fleet or Mixed Use
2011 Honda Pilot,EX-L with Navigation 4WD,Excellent Price,"$10,500 ","146,127","Oklahoma City, OK",Tan,Unknown,0 reported accidents,Clean,16 cty / 22 hwy,Automatic,Gas,Standard,3.5L V-6 Gas,4WD,Fleet or Mixed Use
2019 Nissan Pathfinder,SV FWD,Excellent Price,"$19,956 ","34,740","YUKON, OK",Gun Metallic,Charcoal,1 reported accidents,Clean,20 cty / 27 hwy,Automatic,Gas,Standard,3.5L V-6 Gas,FWD,Personal or Rental Use
2018 Chevrolet Equinox,LS with 1LS FWD,Excellent Price,"$13,042 ","83,435","Oklahoma City, OK",Silver Ice Metallic,Medium Ash Gray,0 reported accidents,Clean,26 cty / 32 hwy,Automatic,Gas,Minimal Options,1.5L Inline-4 Gas Turbocharged,FWD,Personal or Rental Use
2019 Toyota Highlander,LE V6 AWD,Great Price,"$27,497 ","21,651","Midwest City, OK",Predawn Gray Mica,Unknown,0 reported accidents,Clean,19 cty / 26 hwy,Automatic,Gas,Standard,3.5L V-6 Gas,AWD,Personal or Rental Use
2015 Chevrolet Trax,LS with 1LS FWD,Excellent Price,"$9,495 ","64,263","Oklahoma City, OK",Ruby Red Metallic,Jet Black,2 reported accidents,Clean,26 cty / 34 hwy,Automatic,Gas,Fully Loaded,1.4L Inline-4 Gas Turbocharged,FWD,Personal or Rental Use
2013 Ford Explorer,Limited FWD,Excellent Price,"$12,222 ","119,337","Norman, OK",Granite,Medium Light Stone,0 reported accidents,Clean,17 cty / 24 hwy,Automatic,Gas,Standard,3.5L V-6 Gas,FWD,Personal or Rental Use
2010 Volvo XC60,3.2L FWD,Excellent Price,"$8,988 ","104,407","Oklahoma City, OK",White,Tan,0 reported accidents,Clean,18 cty / 27 hwy,Automatic,Gas,Standard,3.2L Inline-6 Gas,FWD,Personal or Rental Use
2016 Nissan Pathfinder,Platinum FWD,Excellent Price,"$19,400 ","78,072","Oklahoma City, OK",Pearl White,Almond,0 reported accidents,Clean,20 cty / 27 hwy,Automatic,Gas,Standard,3.5L V-6 Gas,FWD,Personal or Rental Use
2017 Lincoln MKX,Select FWD,Excellent Price,"$21,000 ","60,181","Oklahoma City, OK",Magnetic Gray Metallic,Unknown,0 reported accidents,Clean,17 cty / 25 hwy,Automatic,Gas,Standard,3.7L V-6 Gas,FWD,Personal or Rental Use
2019 Dodge Journey,GT AWD,Great Price,"$17,697 ","23,345","Midwest City, OK",Vice White,Black/Red,0 reported accidents,Clean,16 cty / 24 hwy,Automatic,Gas,Minimal Options,3.6L V-6 Gas,AWD,Personal or Rental Use
2017 Honda CR-V,Touring AWD,Great Price,"$26,708 ","44,641","Oklahoma City, OK",Basque Red Pearl Ii,Gray,2 reported accidents,Clean,27 cty / 33 hwy,Automatic,Gas,Standard,1.5L Inline-4 Gas Turbocharged,AWD,Personal or Rental Use
2011 Honda CR-V,LX FWD,Excellent Price,"$9,795 ","77,577","Oklahoma City, OK",Brown,Gray,1 reported accidents,Clean,21 cty / 28 hwy,Automatic,Gas,Standard,2.4L Inline-4 Gas,FWD,Fleet or Mixed Use
2014 INFINITI QX50,Journey RWD,Excellent Price,"$10,950 ","75,014","Oklahoma City, OK",Moonlight White,Graphite,0 reported accidents,Salvaged,17 cty / 25 hwy,Automatic,Gas,NA,3.7L V-6 Gas,RWD,Personal or Rental Use
2016 Nissan JUKE,S FWD CVT,Excellent Price,"$11,995 ","53,564","Bethany, OK",Red,Black,2 reported accidents,Clean,28 cty / 32 hwy,Automatic,Gas,Standard,1.6L Inline-4 Gas Turbocharged,FWD,Fleet or Mixed Use
2013 Volkswagen Tiguan,S FWD Auto,Excellent Price,"$5,995 ","163,375","Oklahoma City, OK",Gray,Gray,0 reported accidents,Clean,21 cty / 26 hwy,Automatic,Gas,Standard,2.0L Inline-4 Gas Turbocharged,FWD,Personal or Rental Use
2014 Jeep Patriot,Sport FWD,Excellent Price,"$8,495 ","76,841","Oklahoma City, OK",Black Clearcoat,Dark Slate Gray,0 reported accidents,Clean,23 cty / 30 hwy,Manual,Gas,Standard,2.0L Inline-4 Gas,FWD,Personal or Rental Use
2015 Lexus RX,RX 350 AWD,Great Price,"$20,988 ","108,295","Oklahoma City, OK",Gray,Gray,0 reported accidents,Clean,18 cty / 24 hwy,Automatic,Gas,Standard,3.5L V-6 Gas,AWD,Personal or Rental Use
2014 Jeep Grand Cherokee,Limited 4WD,Great Price,"$15,284 ","126,910","Del City, OK",Brilliant Black Crystal Pearlcoat,Black/Lt Frost Beige,0 reported accidents,Clean,17 cty / 24 hwy,Automatic,Gas,Well Equipped,3.6L V-6 Gas,4WD,Personal or Rental Use
2012 Nissan Xterra,S RWD Auto,Excellent Price,"$9,995 ","129,550","Bethany, OK",Avalanche,Gray,0 reported accidents,Clean,16 cty / 22 hwy,Automatic,Gas,Standard,4.0L V-6 Gas,RWD,Fleet or Mixed Use
2017 Subaru Forester,2.5i Premium CVT,Excellent Price,"$16,499 ","63,375","Oklahoma City, OK",Venetian Red Pearl,Gray,1 reported accidents,Clean,26 cty / 32 hwy,Automatic,Gas,Minimal Options,2.5L Flat-4 Gas,AWD,Personal or Rental Use
2010 Ford Expedition,XLT 4WD,Excellent Price,"$9,525 ","109,151","Oklahoma City, OK",Ingot Silver Metallic,Stone,0 reported accidents,Clean,12 cty / 17 hwy,Automatic,Gas,Standard,5.4L V-8 Gas,4WD,Personal or Rental Use
2016 Toyota 4Runner,Limited V6 RWD,Excellent Price,"$27,990 ","63,643","Oklahoma City, OK",Black,Black,0 reported accidents,Clean,17 cty / 22 hwy,Automatic,Gas,Standard,4.0L V-6 Gas,RWD,Personal or Rental Use
2013 Toyota Highlander,Plus V6 FWD,Excellent Price,"$14,995 ","107,317","Oklahoma City, OK",Black,Tan,0 reported accidents,Clean,18 cty / 24 hwy,Automatic,Gas,Standard,3.5L V-6 Gas,FWD,Personal or Rental Use
2019 Toyota Highlander,LE V6 FWD,Great Price,"$27,595 ","21,522","Oklahoma City, OK",Blizzard Pearl,Ash,0 reported accidents,Clean,20 cty / 27 hwy,Automatic,Gas,Standard,3.5L V-6 Gas,FWD,Personal or Rental Use
2019 Dodge Journey,GT AWD,Excellent Price,"$17,397 ","26,890","Dallas, TX",Pitch Black Clearcoat,Black/Red,0 reported accidents,Clean,16 cty / 24 hwy,Automatic,Gas,Minimal Options,3.6L V-6 Gas,AWD,Personal or Rental Use
2010 Chevrolet Equinox,LT with 1LT FWD,Excellent Price,"$4,995 ","180,121","Bethany, OK",Silver,Gray,0 reported accidents,Clean,22 cty / 32 hwy,Automatic,Gas,Standard,2.4L Inline-4 Gas,FWD,Fleet or Mixed Use
